,BUILDINGID,Watts,time
0,0002,17948.0,2022-04-12T18:52:01.593393Z
1,0005,209543.0,2022-04-12T18:52:01.593393Z
2,0006,225193.0,2022-04-12T18:52:01.593393Z
3,0007,222794.0,2022-04-12T18:52:01.593393Z
4,0008,189459.0,2022-04-12T18:52:01.593393Z
5,0009,90542.0,2022-04-12T18:52:01.593393Z
6,0010,63481.056,2022-04-12T18:52:01.593393Z
7,0012,33949.0,2022-04-12T18:52:01.593393Z
8,0013,33708.0,2022-04-12T18:52:01.593393Z
9,0014,16197.0,2022-04-12T18:52:01.593393Z
10,0015,1250.144,2022-04-12T18:52:01.593393Z
11,0016,189242.0,2022-04-12T18:52:01.593393Z
12,0017,113.117,2022-04-12T18:52:01.593393Z
13,0018,3982.0,2022-04-12T18:52:01.593393Z
14,0019,306801.0,2022-04-12T18:52:01.593393Z
15,0027,64162.0,2022-04-12T18:52:01.593393Z
16,0029,341976.0,2022-04-12T18:52:01.593393Z
17,0030,188534.0,2022-04-12T18:52:01.593393Z
18,0031,83901.0,2022-04-12T18:52:01.593393Z
19,0032,13548.0,2022-04-12T18:52:01.593393Z
20,0033,31195.0,2022-04-12T18:52:01.593393Z
21,0034,67142.0,2022-04-12T18:52:01.593393Z
22,0035,32635.0,2022-04-12T18:52:01.593393Z
23,0036,32705.0,2022-04-12T18:52:01.593393Z
24,0037,280362.0,2022-04-12T18:52:01.593393Z
25,0038,94592.0,2022-04-12T18:52:01.593393Z
26,0039,140846.0,2022-04-12T18:52:01.593393Z
27,0040,9290.758,2022-04-12T18:52:01.593393Z
28,0041,1579.629,2022-04-12T18:52:01.593393Z
29,0042,4403.0,2022-04-12T18:52:01.593393Z
30,0047,38932.0,2022-04-12T18:52:01.593393Z
31,0048,16345.0,2022-04-12T18:52:01.593393Z
32,0049,170089.0,2022-04-12T18:52:01.593393Z
33,0051,79483.0,2022-04-12T18:52:01.593393Z
34,0058,46206.0,2022-04-12T18:52:01.593393Z
35,0063,250569.0,2022-04-12T18:52:01.593393Z
36,0064,27592.0,2022-04-12T18:52:01.593393Z
37,0065,58952.0,2022-04-12T18:52:01.593393Z
38,0066,17.573,2022-04-12T18:52:01.593393Z
39,0067,25727.0,2022-04-12T18:52:01.593393Z
40,0068,64697.875,2022-04-12T18:52:01.593393Z
41,0069,1903.8709999999999,2022-04-12T18:52:01.593393Z
42,006a,20692.0,2022-04-12T18:52:01.593393Z
43,0071,11157.0,2022-04-12T18:52:01.593393Z
44,0072,13245.0,2022-04-12T18:52:01.593393Z
45,0073,11413.0,2022-04-12T18:52:01.593393Z
46,0074,9743.0,2022-04-12T18:52:01.593393Z
47,0075,5678.0,2022-04-12T18:52:01.593393Z
48,0076,16890.0,2022-04-12T18:52:01.593393Z
49,0077,5634.0,2022-04-12T18:52:01.593393Z
50,0080,8052.0,2022-04-12T18:52:01.593393Z
51,0081,29623.0,2022-04-12T18:52:01.593393Z
52,0083,11381.0,2022-04-12T18:52:01.593393Z
53,0084,11841.0,2022-04-12T18:52:01.593393Z
54,0085,13275.0,2022-04-12T18:52:01.593393Z
55,0086,9305.0,2022-04-12T18:52:01.593393Z
56,0087,26433.0,2022-04-12T18:52:01.593393Z
57,0088,4228.0,2022-04-12T18:52:01.593393Z
58,0089,6075.0,2022-04-12T18:52:01.593393Z
59,008b,199083.0,2022-04-12T18:52:01.593393Z
60,0090,10327.0,2022-04-12T18:52:01.593393Z
61,0091,9028.0,2022-04-12T18:52:01.593393Z
62,0092,15328.0,2022-04-12T18:52:01.593393Z
63,0093,11966.0,2022-04-12T18:52:01.593393Z
64,0094,10672.0,2022-04-12T18:52:01.593393Z
65,0095,11363.0,2022-04-12T18:52:01.593393Z
66,0096,4514.0,2022-04-12T18:52:01.593393Z
67,0097,12635.0,2022-04-12T18:52:01.593393Z
68,0098,8.695,2022-04-12T18:52:01.593393Z
69,0099,16882.0,2022-04-12T18:52:01.593393Z
70,009a,531091.0,2022-04-12T18:52:01.593393Z
71,0100,5043.0,2022-04-12T18:52:01.593393Z
72,0101,8042.0,2022-04-12T18:52:01.593393Z
73,0102,11040.0,2022-04-12T18:52:01.593393Z
74,0104,14231.0,2022-04-12T18:52:01.593393Z
75,0105,13350.0,2022-04-12T18:52:01.593393Z
76,0106,9429.0,2022-04-12T18:52:01.593393Z
77,0107,13136.0,2022-04-12T18:52:01.593393Z
78,0111,544366.0,2022-04-12T18:52:01.593393Z
79,0113,159546.0,2022-04-12T18:52:01.593393Z
80,0114,454354.0,2022-04-12T18:52:01.593393Z
81,0115,24930.0,2022-04-12T18:52:01.593393Z
82,0117,91816.0,2022-04-12T18:52:01.593393Z
83,0118,106426.0,2022-04-12T18:52:01.593393Z
84,0121,93504.0,2022-04-12T18:52:01.593393Z
85,0123,12942.0,2022-04-12T18:52:01.593393Z
86,0124,86159.0,2022-04-12T18:52:01.593393Z
87,0128,22213.0,2022-04-12T18:52:01.593393Z
88,0130,5402.0,2022-04-12T18:52:01.593393Z
89,0151,35.491,2022-04-12T18:52:01.593393Z
90,016a,51692.0,2022-04-12T18:52:01.593393Z
91,0194,3636.0,2022-04-12T18:52:01.593393Z
92,0201,106489.0,2022-04-12T18:52:01.593393Z
93,0202,195569.0,2022-04-12T18:52:01.593393Z
94,026a,10268.59,2022-04-12T18:52:01.593393Z
95,109a,13075.0,2022-04-12T18:52:01.593393Z
96,109b,12866.0,2022-04-12T18:52:01.593393Z
97,109c,17622.0,2022-04-12T18:52:01.593393Z
98,109d,8496.0,2022-04-12T18:52:01.593393Z
